6244,Stub,1
6227,Stub,1
6212,Stub,1
6206,Stub,1
6144,Stub,1
6143,Stub,1
6142,Stub,1
6140,Stub,1
6137,Stub,1
6136,Stub,1
6115,Stub,1
6098,,
6097,,
6096,,
6095,,
6094,,
6092,,
6082,,
6073,Stub,1
6071,Stub,1
6070,Stub,1
6067,Stub,1
6066,Stub,1
6062,Stub,1
6056,Stub,1
6054,Stub,1
6048,Stub,1
6046,Partial (edits),4
6045,,
6000,Stub,1
5998,Stub,1
5993,Stub,1
5828,Stub,1
5827,Stub,1
5812,Partial,2
5810,,
5805,Stub,1
5769,,
5768,,
5764,,
5754,Partial (citations),3
5746,,
5739,,
5648,,
5646,Stub,1
5644,,
5642,Partial,2
5638,Stub,1
5594,,
5511,,
5509,Stub,1
5507,,
5459,,
5451,,
5450,,
5433,,
5427,--,5
5426,,
5425,,
5424,,
5419,,
5415,,
5413,,
5412,,
5410,,
5408,,
5402,,
5397,,
5372,,
5370,,
5369,Partial,2
5368,Stub,1
5367,,
5366,,
5365,Stub,1
5364,Stub,1
5363,--,5
5361,Stub,1
5312,,
5311,,
5309,,
5308,,
5307,,
5306,,
5289,,
5288,,
5237,Partial,2
5229,,
5223,Stub,1
5214,,
5208,Stub,1
5188,,
5180,Stub,1
5179,,
5178,Stub,1
5157,Stub,1
5154,Stub,1
5149,--,5
5098,Stub,1
5097,,
5095,Stub,1
5086,Stub,1
5083,,
5082,Stub,1
5079,Stub,1
5078,,
5077,Stub,1
5058,Stub,1
5057,Stub,1
5043,,
5042,,
5035,,
5030,,
5016,,
4993,,
4992,,
4983,,
4981,,
4980,Stub,1
4951,,
4940,Stub,1
4939,,
4938,Partial,2
4935,Stub,1
4934,Stub,1
4933,,
4918,,
4912,Stub,1
4908,,
4907,,
4897,,
4885,--,5
4883,Stub,1
4865,--,5
4862,,
4849,Partial,2
4848,,
4836,Stub,1
4831,Partial,2
4830,,
4828,Stub,1
4827,Stub,1
4826,Stub,1
4825,Stub,1
4796,Partial,2
4795,Partial,2
4791,,
4784,,
4777,,
4766,Stub,1
4733,,
4700,Stub,1
4683,,
4682,,
4678,,
4668,,
4664,,
4663,,
4652,Partial (citations),3
4651,,
4649,--,5
4648,--,5
4646,,
4644,--,5
4639,,
4632,,
4623,,
4620,,
4602,,
4601,,
4600,Stub,1
4595,Stub,1
4591,,
4590,,
4588,,
4582,--,5
4581,Stub,1
4579,--,5
4546,Stub,1
4537,,
4534,Stub,1
4526,Stub,1
4467,,
4451,,
4434,,
4426,Stub,1
4419,,
4413,Partial (citations),3
4400,,
4395,,
4381,Stub,1
4380,--,5
4357,,
4352,Stub,1
4349,Partial,2
4345,Stub,1
4344,,
4343,,
4328,,
4327,,
4324,Stub,1
4322,,
4319,Stub,1
4317,,
4314,Partial,2
4313,,
4307,Stub,1
4305,Partial (citations),3
4304,Partial,2
4299,,
4298,,
4286,Stub,1
4258,,
4241,,
4232,,
4206,,
4175,,
4149,Partial,2
4146,,
3431,,
2840,,
1692,,
1588,,
1587,,
1278,,
1257,,
1154,,
985,Stub,1
855,Stub,1
799,Stub,1
794,Stub,1
733,,
727,Partial (citations),3
688,,
650,Partial,2
639,,
635,,
631,Partial,2
629,,
627,,
622,,
598,,
592,,
580,Stub,1
566,Stub,1
565,--,5
560,,
540,,
538,,
530,,
529,,
521,,
520,,
518,,
514,Partial,2
459,Stub,1
457,Stub,1
448,,
441,Partial,2
428,,
387,,
197,,
196,,
194,Stub,1
191,,
190,,
189,,
188,,
187,,
186,,
185,,
184,,
183,,
182,,
181,,
180,,
179,,
177,,
174,,
173,Stub,1
172,,
170,--,5
169,,
168,,
167,,
166,,
164,--,5
163,,
162,--,5
161,--,5
160,,
159,,
157,,
156,Stub,1
155,,
154,,
152,,
151,,
150,--,5
149,,
147,,
146,--,5
145,,
