organization_id,tag
212,dialogue
212,deliberation
212,public engagement
212,network
212,organization
216,deliberative democracy
216,citizens&#039; jury
216,community engagement
216,australia
252,Citizens Initiative Review
252,civic engagement
252,CIR
252,democracy
252,Deliberative
252,Vote
252,Voters
252,Voting
300,NGO
300,Direct Democracy
300,ICT
429,partecipazione
429,participation
429,processi decisionali inclusivi
429,democrazia partecipativa
429,sussidiarietà
429,responsabilità sociale
429,corporate social responsibility
429,open space technology
429,project Cycle management
429,easw
429,european awarness scenario workshop
429,bilancio partecipativo
429,participatory budget
427,publicengmt
427,demopart
427,edem
436,Super PAC; protest; mockery; money; social movement; internet; personality; US politics; finance; corruption; youth; OCCUPY Wall Street
442,Democratici Diretti
442,italy
442,Direct Democracy
447,wiki
447,idea management
447,law-making
453,Development
453,civic studies
453,citizens
455,civic participation
458,Community-based participatory research
458,community-engaged scholarship
458,service-learning
458,community-academic partnership
472,science public engagement participation
479,public participation
479,public engagement
493,http://www.studycircles.net.au/
516,structured dialogic design
516,SDD
516,particpatory democracy
516,collaboration
517,Occupy Wall Street; Occupy; Movement; Activism; Social Justice; Environmental Justice; Economic Justice; Revoution; Inclusive; Participatory; Democracy; Proces; Love
535,Australia DirectDemocracy
537,Shoreline Master Program SMP SMA Update
544,Backbone Campaign
555,Finland
555,deliberative democracy
555,health care
555,citizens&#039; jury
585,nanotechnology
585,research
585,public engagement
585,public participation
605,Government
605,dialogue
605,online
605,public engagement
599,Community Places; Engagement; Community Planning; Communities; Community Development; Community and Voluntray Sector
608,Freerz
608,Freerz Community
608,Freerz Manifesto
638,New Hampshire
638,Statewide convener
640,e-democracy
640,e-participation
640,Facebook application
648,e-participation
648,participatory budgeting
648,online
648,dialogue
648,public consultation
651,civic participation
651,Community-based participatory research
651,social innovation
651,open democracy
651,urban politics
653,California Citizens Redistrciting Commission Proposition 11 Voters First Act Senate Assembly Board of Equalization
654,public consultation
656,politics
778,Portugal
779,eparticipation
779,digitalengagement
779,edem
779,demopart
678,www.deborda.org
691,Pakistan
691,Blasphemy Laws
691,Umbrella Group
691,Citizens for Democracy
691,civil society group
698,&#039;Americans Elect&#039; &#039;Colton Schweitzer&#039; &#039;Tony Elia&#039;
700,david mathews center for civic live engagement deliberation alabama
703,California Citizens Redistrciting Commission Proposition 11 Voters First Act Senate Assembly Board of Equalization
704,pirate parties
704,sweden
704,1st amendment
704,privacy
704,freedom of speech
771,Occupy Wall Street; Occupy; Movement; Activism; Social Justice; Environmental Justice; Economic Justice; Revoution; Inclusive; Participatory; Democracy; Proces; Love
709,WWViews
709,global warming
709,Citizen Participation
709,Citizen Deliberation
776,Bürgerhaushalt
776,Stadtplanung
800,Europe
800,democracy
800,Equality
800,culture
800,participation
800,citizens
813,Technology
813,large scale consultations
813,inclusive decision making
1157,Crowdsourcing
1157,lawmaking
1157,Open Policy Making
1157,Finland
1609,social innovation
1609,social ventures
1609,research
1609,applied innovation
945,active citizens
945,deliberative democracy
945,media
945,Social Media
945,video
945,film
1070,participatory budgeting
1046,parliamentary informatics
1046,legislative information
1618,young people community participation UK
1254,public participation
4153,Democratic Experimentation
2017,airesis
2017,e-government
2017,egovernment
2017,decision making
2017,e-democracy
2017,edemocracy
2617,open government
4138,deliberative democracy
4138,Crowdsourcing; e-democracy
4138,Citizen Participation
4138,big data
4151,sociocracy
4151,deeper democracy
4151,dynamic governance
4151,collaborative governance
4152,local self-reliance
4152,local economy
4152,small business
4152,democracy
4152,Participatory democracy
4152,Social Media
4152,shop local
4173,MoveOn Move On
4194,Environment
4194,Crowdmapping
4194,Crowdsourcing
4194,india
4194,maps
4194,big data
4187,Citizen Participation
4187,stakeholder engagement
4187,participatory budgeting
4187,public engagement
4187,inclusive decision making
4219,civic engagement digital participation planning public
4282,participation
4282,research
4290,procedural competencies
4290,meta-theory
4290,theory on procedures
4290,toolbox
4294,platform
4294,software
4294,gamification
4294,co-creation
4294,civic engagement
4294,civic tech
4315,Online Democracy
4518,journalism
4518,critical reporting
4518,democratic accountability
4518,dissent
4330,Citizen Deliberation
4330,citizen panel
4330,citizens assembly
4330,deliberative democracy
4330,consensus conference
4348,Diseño participativo
4348,diseño Colaborativo
4348,participación ciudadana
4348,participación comunitaria
4348,arquitectura
4348,diseño social
4373,internet; digital divide; net neutrality
4382,children
4382,change
4382,changeagents
4382,changeagent
4382,education
4382,international education
4382,community
4382,community engagements
4382,youth development
4382,youth engagement
4382,Citizen Participation
4382,Teaching Tool Student Engagement
4382,student-led
4416,internet; privacy; legal affairs
4497,online deliberation
4497,online discussion
4456,dialogue
4456,deliberation
4456,consensus conference
4456,town meeting
4453,dialogue
4453,community engagement
4453,facilitation
4453,deliberation
4454,community engagement
4454,facilitation
4455,facilitation
4455,deliberation
4455,online deliberation
4462,facilitation
4480,freedom of expression
4480,art
4480,culture
4480,Democratic Experimentation
4480,activism
4487,capacity building
4487,Development
4487,performance monitoring
4487,Democratic Innovation
4516,Radical Feminism
4516,Consciousness-raising
4516,protest
4536,citizens jury
4536,co-design
4555,online deliberation
4555,digital engagement
4555,online forum
4560,Bürgerbeteiligung
4560,Öffentlichkeitsbeteiligung
4560,Partizipation
